region,Amyloid_deposition_z_MAPT,MAPT_expression,Amyloid_deposition_z_APP,APP_expression,diff
ctx-lh-medialorbitofrontal,2.2090395480226,8.46834532374101,4.07936507936508,8.18269230769231,1.87032553134248
ctx-lh-lateraloccipital,4.06214689265537,8.46834532374101,2.22222222222222,8.06730769230769,1.8399246704331502
ctx-lh-caudalmiddlefrontal,2.36723163841808,8.39352517985612,3.0952380952381,8.30384615384615,0.7280064568200197
ctx-lh-paracentral,3.07909604519774,8.39352517985612,2.36507936507936,7.94230769230769,0.7140166801183803
ctx-lh-cuneus,3.04519774011299,8.33453237410072,3.11111111111111,8.12884615384615,0.06591337099811989
ctx-lh-superiortemporal,3.10169491525424,8.53597122302158,3.04761904761905,8.12884615384615,0.05407586763519001
ctx-lh-precuneus,4.45762711864407,8.58201438848921,4.47619047619048,8.22692307692308,0.018563357546409698
ctx-lh-isthmuscingulate,2.84180790960452,8.62374100719424,2.85714285714286,8.29230769230769,0.015334947538339971
ctx-lh-bankssts,3.8135593220339,8.64532374100719,3.82539682539683,8.33846153846154,0.01183750336292988
ctx-lh-precentral,1.75706214689266,8.50575539568345,1.74603174603175,8.24230769230769,0.011030400860909895
ctx-lh-rostralmiddlefrontal,3.49717514124294,8.39928057553957,3.50793650793651,8.325,0.010761366693570196
ctx-lh-parahippocampal,1.33898305084746,8.53021582733813,1.34920634920635,8.175,0.01022329835888991
ctx-lh-inferiorparietal,3.25988700564972,8.56187050359712,3.26984126984127,8.15,0.009954264191550433
ctx-lh-posteriorcingulate,3.18079096045198,8.49136690647482,3.19047619047619,8.19423076923077,0.009685230024209623
ctx-lh-temporalpole,1.56497175141243,8.47553956834532,1.55555555555556,7.95576923076923,0.009416195856869924
ctx-lh-middletemporal,3.3728813559322,8.62086330935252,3.38095238095238,8.15192307692308,0.008071025020179867
ctx-lh-inferiortemporal,3.21468926553672,8.65971223021583,3.22222222222222,8.11538461538462,0.007532956685500025
ctx-lh-fusiform,2.81920903954802,8.63093525179856,2.82539682539683,8.23076923076923,0.00618778584881019
ctx-lh-caudalanteriorcingulate,2.15254237288136,8.50287769784173,2.15873015873016,8.13269230769231,0.006187785848799976
ctx-lh-parsorbitalis,2.5819209039548,8.78057553956834,2.58730158730159,8.35,0.005380683346789983
ctx-lh-rostralanteriorcingulate,3.75706214689266,8.54748201438849,3.76190476190476,8.22884615384615,0.004842615012099927
ctx-lh-transversetemporal,2.93220338983051,8.4726618705036,2.93650793650794,8.13269230769231,0.004304546677429855
ctx-lh-postcentral,2.02824858757062,8.55467625899281,2.03174603174603,8.14615384615385,0.0034974441754096475
ctx-lh-superiorparietal,2.79661016949153,8.73309352517986,2.79365079365079,8.225,0.0029593758407400195
ctx-lh-frontalpole,3.71186440677966,8.24532374100719,3.71428571428571,8.27307692307692,0.0024213075060499634
ctx-lh-lateralorbitofrontal,3.03389830508475,8.43669064748202,3.03174603174603,8.34230769230769,0.0021522733387202564
ctx-lh-pericalcarine,2.44632768361582,8.45539568345324,2.44444444444444,8.01538461538462,0.0018832391713798913
ctx-lh-superiorfrontal,3.3954802259887,8.56906474820144,3.3968253968254,8.23846153846154,0.0013451708367000492
ctx-lh-entorhinal,0.728813559322035,8.49280575539568,0.73015873015873,8.10384615384615,0.0013451708366950532
ctx-lh-parstriangularis,2.64971751412429,8.21798561151079,2.65079365079365,7.81153846153846,0.001076136669359684
ctx-lh-lingual,2.57062146892655,8.45251798561151,2.57142857142857,8.15384615384615,8.071025020197631e-4
ctx-lh-insula,2.57062146892655,8.5,2.57142857142857,8.11153846153846,8.071025020197631e-4
ctx-lh-supramarginal,2.76271186440678,8.72589928057554,2.76190476190476,8.25192307692308,8.071025020197631e-4
ctx-lh-parsopercularis,2.92090395480226,8.4568345323741,2.92063492063492,8.29230769230769,2.69034167339921e-4
