	FreeSurferShortName	Lobe	Hemisphere	FreeSuferLUTIdentifier	APARCIdentifier	SamplesInRegion	BrainsWithSamples
ctx-lh-bankssts	bankssts	temporal	lh	1001	1	6	4
ctx-lh-caudalanteriorcingulate	caudalanteriorcingulate	frontal	lh	1002	2	28	6
ctx-lh-caudalmiddlefrontal	caudalmiddlefrontal	frontal	lh	1003	3	15	6
ctx-lh-cuneus	cuneus	occipital	lh	1005	5	30	6
ctx-lh-entorhinal	entorhinal	temporal	lh	1006	6	18	6
ctx-lh-fusiform	fusiform	temporal	lh	1007	7	64	6
ctx-lh-inferiorparietal	inferiorparietal	parietal	lh	1008	8	37	6
ctx-lh-inferiortemporal	inferiortemporal	temporal	lh	1009	9	83	6
ctx-lh-isthmuscingulate	isthmuscingulate	frontal	lh	1010	10	24	6
ctx-lh-lateraloccipital	lateraloccipital	occipital	lh	1011	11	45	6
ctx-lh-lateralorbitofrontal	lateralorbitofrontal	frontal	lh	1012	12	27	6
ctx-lh-lingual	lingual	occipital	lh	1013	13	45	6
ctx-lh-medialorbitofrontal	medialorbitofrontal	frontal	lh	1014	14	54	6
ctx-lh-middletemporal	middletemporal	temporal	lh	1015	15	77	6
ctx-lh-parahippocampal	parahippocampal	temporal	lh	1016	16	33	6
ctx-lh-paracentral	paracentral	parietal	lh	1017	17	28	6
ctx-lh-parsopercularis	parsopercularis	frontal	lh	1018	18	13	5
ctx-lh-parsorbitalis	parsorbitalis	frontal	lh	1019	19	18	6
ctx-lh-parstriangularis	parstriangularis	frontal	lh	1020	20	7	5
ctx-lh-pericalcarine	pericalcarine	occipital	lh	1021	21	8	5
ctx-lh-postcentral	postcentral	parietal	lh	1022	22	64	6
ctx-lh-posteriorcingulate	posteriorcingulate	parietal	lh	1023	23	37	6
ctx-lh-precentral	precentral	frontal	lh	1024	24	68	6
ctx-lh-precuneus	precuneus	parietal	lh	1025	25	40	6
ctx-lh-rostralanteriorcingulate	rostralanteriorcingulate	frontal	lh	1026	26	18	6
ctx-lh-rostralmiddlefrontal	rostralmiddlefrontal	frontal	lh	1027	27	47	6
ctx-lh-superiorfrontal	superiorfrontal	frontal	lh	1028	28	100	6
ctx-lh-superiorparietal	superiorparietal	parietal	lh	1029	29	44	6
ctx-lh-superiortemporal	superiortemporal	temporal	lh	1030	30	80	6
ctx-lh-supramarginal	supramarginal	parietal	lh	1031	31	38	6
ctx-lh-frontalpole	frontalpole	frontal	lh	1032	32	9	3
ctx-lh-temporalpole	temporalpole	temporal	lh	1033	33	17	4
ctx-lh-transversetemporal	transversetemporal	temporal	lh	1034	34	14	6
ctx-lh-insula	insula	frontal	lh	1035	35	33	6
ctx-rh-bankssts	bankssts	temporal	rh	2001	1	2	2
ctx-rh-caudalanteriorcingulate	caudalanteriorcingulate	frontal	rh	2002	2	7	2
ctx-rh-caudalmiddlefrontal	caudalmiddlefrontal	frontal	rh	2003	3	9	2
ctx-rh-cuneus	cuneus	occipital	rh	2005	5	6	2
ctx-rh-entorhinal	entorhinal	temporal	rh	2006	6	4	2
ctx-rh-fusiform	fusiform	temporal	rh	2007	7	24	2
ctx-rh-inferiorparietal	inferiorparietal	parietal	rh	2008	8	10	2
ctx-rh-inferiortemporal	inferiortemporal	temporal	rh	2009	9	34	2
ctx-rh-isthmuscingulate	isthmuscingulate	frontal	rh	2010	10	9	2
ctx-rh-lateraloccipital	lateraloccipital	occipital	rh	2011	11	8	2
ctx-rh-lateralorbitofrontal	lateralorbitofrontal	frontal	rh	2012	12	12	2
ctx-rh-lingual	lingual	occipital	rh	2013	13	11	2
ctx-rh-medialorbitofrontal	medialorbitofrontal	frontal	rh	2014	14	21	2
ctx-rh-middletemporal	middletemporal	temporal	rh	2015	15	27	2
ctx-rh-parahippocampal	parahippocampal	temporal	rh	2016	16	12	2
ctx-rh-paracentral	paracentral	parietal	rh	2017	17	8	2
ctx-rh-parsopercularis	parsopercularis	frontal	rh	2018	18	4	2
ctx-rh-parsorbitalis	parsorbitalis	frontal	rh	2019	19	3	2
ctx-rh-parstriangularis	parstriangularis	frontal	rh	2020	20	5	2
ctx-rh-pericalcarine	pericalcarine	occipital	rh	2021	21	4	2
ctx-rh-postcentral	postcentral	parietal	rh	2022	22	27	2
ctx-rh-posteriorcingulate	posteriorcingulate	parietal	rh	2023	23	13	2
ctx-rh-precentral	precentral	frontal	rh	2024	24	23	2
ctx-rh-precuneus	precuneus	parietal	rh	2025	25	10	2
ctx-rh-rostralanteriorcingulate	rostralanteriorcingulate	frontal	rh	2026	26	5	2
ctx-rh-rostralmiddlefrontal	rostralmiddlefrontal	frontal	rh	2027	27	25	2
ctx-rh-superiorfrontal	superiorfrontal	frontal	rh	2028	28	29	2
ctx-rh-superiorparietal	superiorparietal	parietal	rh	2029	29	11	2
ctx-rh-superiortemporal	superiortemporal	temporal	rh	2030	30	25	2
ctx-rh-supramarginal	supramarginal	parietal	rh	2031	31	13	2
ctx-rh-frontalpole	frontalpole	frontal	rh	2032	32	2	1
ctx-rh-temporalpole	temporalpole	temporal	rh	2033	33	9	2
ctx-rh-transversetemporal	transversetemporal	temporal	rh	2034	34	5	2
ctx-rh-insula	insula	frontal	rh	2035	35	11	2
